label,comment_processed
1,风景 美 摄影 爱好 徒步 爱好 旅游 人士 天堂 
0,洛阳 玩 地方 不多 推荐 
1,性价比 高 一个 景区 坐坐 
0,带 小朋友 西北 门进 走 一圈 刚好 人山人海 路太远 走 累 
1,历史 遗迹 壮观 
1,李导 解说 十分 细致 点赞 
1,导游 不错 专业 服务态度 相当 
1,哈哈哈 哈哈哈 
1,洛阳 值得 一去 地方 
1,白马寺 绝对 值得 推荐 中国 第一家 皇家 寺庙 历史悠久 绝对 值得 推荐 
1,很大 古典 神圣 虔诚 跪拜 白马寺 应该 全国 寺庙 规模 比较 国外 佛教 值得 一去 
1,这是 一座 御封 名山 据传 一处 老子 隐居 山水 胜境 两千年 道教 浸润 赋予 这座 大山 厚重 文化 内涵 有着 峰林 仙境 之称 洛阳 老君山 
1,老君山 洛阳 值得 一去 地方 建议 坐中灵 索道 加 峰林 索道 直接 老君山 精华 部分 十里 画廊 金顶 道观 山里 云海 雾气 变化多端 留出 足够 时间 大雾 需要 等待 
1,不错 
1,龙门石窟 名不虚传 
1,洛阳 栾川 老君山 景色 优美 性价比 高 选择 下午 上山 坐 第一个 索道 中 天门 步行 上山 十里 画坪 必看 景色 叹为观止 傍晚 时分 金顶 道观 群在 满天飞 红 晚霞 中 格外 壮观 金碧辉煌 如能 碰上 云海 真的 超值 
1,服务周到 讲解 细致 家人 非常 满意 
1,第一次 老君山 真是 意想不到 享受 收获 天是 蓝云 白 空气 特别 清新 舒服 真是 天然 氧吧 第二天 一大早 坐 缆车 上山 看到 眼前 景色 激动 真是太 美 仿佛 来到 云彩 里 眼前 云雾 迷漫 真是 人间仙境 走 十里 画屏 景色 更是 迷恋 陶醉 无法 语言 表达 出 心中 惊喜 走 一路 刷 一路 朋友圈 朋友 想来 玩 真是 没有 白来 上山 下山 走 平路 很少 台阶 玩 下来 一点 不累 
1,感觉 棒棒 哒 
1,白马寺 洛阳 行程 计划 中 想想 白马寺 渊源 历史 忍不住 一趟 做 盛唐 武周 时期 名寺 中华 佛教文化 历史 文化 中 高 地位 古寺 郁郁葱葱 充满 厚重 历史感 新增 异域 佛教 建筑 破坏 这份 历史 沉淀 
1,洛阳 总要 看看 古人 鬼斧神工 
0,感觉 不值 票价 
0,老君山 景区 很漂亮 想 坐 缆车 排队 早点 左右 缆车 乘车 点 最好 段 缆车 往返 均 乘坐 省 不少 力气 
1,讲解 马丹阳 美女 讲解 挺 细致 随身带 细节 历史 照片 方便 了解 石窟 后面 更 故事 
0,很多 里面 物价 稍 高 
1,龙门石窟 始凿 北 魏孝文帝 迁都 洛阳 公元 年 后来 历经 东魏 北齐 北周 唐至宋 朝代 连续 大规模 营造 达 余年 久 密布 两山 峭壁 南北 长 达 公里 共有 余尊 佛像 多个 石窟 现存 窟 龛 题记 碑刻 余品 佛塔 余座 造像 万余尊 最大 佛像 高达米 最小 仅 厘米 体现 出 我国 古代 劳动 人民 高 艺术 造诣 
1,很多 佛像 清晰 身体 头部 不见 非常 可惜 景区 提个 小小 建议 游览车 不能 游 完 西山 石窟 地方 设个 停车位 西山 走 回 门口 真的 太远 
1,艺术 瑰宝 震撼 敬仰 
1,洛阳 第一站 龙门石窟 原本 定 点进 预约 讲解 拼团点 开团 庆幸 最后 一波 游玩 避免 白天 闷热 日晒 携程 预订 大象 旅游 郑小辉 讲解 认真负责 全程 互动 颇 风趣 期待 明天 洛博之行 
1,关羽 首级 埋葬 点 古建筑 历史 意义 
1,龙门石窟 值得 参观 鲤鱼 跳龙门 传说 外 值得 关注 地方 以下几点 第一 值得 观看 卢舍那 大佛 这是 当年 武则天 出资 修建 大佛 面容 武则天 容貌 仪态 雕刻 第二 曾经 皇家 供奉 寺院 孝文帝 冯太后 凿 古阳洞 李泰为 长孙 皇后 造 宾阳 南洞 贵妃 资助 凿 敬善 寺 高力士 唐玄宗 造 无量 寿佛 第三 当年 侵略者 盗窃 留下 众多 痕迹 第四 大量 碑刻 更 了解 历史 
1,第一段 缆车 必须 坐 上山 第二段 缆车 坐 体验 爬山 乐趣 十里 画屏 视野 开阔 时间 没有 看到 云海 山上 挺 凉快 日 落后 温度 下降 很快 下山 太累 选择 坐 两道 缆车 下山 九月份 十月份 选择 山上 过夜 外套 可带 可不 带 
1,三个 女人 说走就走 短途旅行 三个 小时 车程 到达 目的地 门票 加 第一道 索道 往返 每人 元 觉得 有点 便宜 开车 进 景区 第一个 索道 找 吃 中午 吃 鸡蛋 面 不错 味道 景区 索道 上去 行 一半 景色 真好 全是 雪 回头 没雪 分明 有点 兴奋 第二个 索道 元 想想 继续 坐 景色 美 雾 点 全是 白皑皑 一片 很多 夏天 山顶 景色 真 美 有点 凉凉的 值得 
1,挺好玩 关公 爷 墓地 很大 值得 游玩 
1,风光 依旧 美在 内含 爱 一草一木 中国 寺庙 杰出 典范 
1,房间 干净 老板 热情 性价比 高 景色 不错 景区 方便 老板 点 
1,扫描 换票 服务设施 完备 老年人 坐 二程 索道 体力 走 完 十里 画廓 全程 走走停停 环线 花 小时 没 回头路 
1,没 看到 老君山 雪景 日落 日出 著名 金顶 道观 群 夜景 有缘 正月初 九 玉皇大帝 诞辰 这天 登上 玉皇顶 拜 拜 一切都是 最好 安排 
1,洛阳 白马寺 中国 第一 古刹 位于 河南省 洛阳 老城 以东 公里 处 始建 东汉 永平 十一年 公元 年 世界 著名 伽蓝 佛教 传入 中国 兴建 第一座 寺院 洛阳 白马寺 建立 之后 中国 僧院 便 泛称 寺 洛阳 白马寺 认为 中国 佛教 发源地 中国 佛教 祖庭 释源 之称 洛阳 白马寺 距今已有 多年 历史 占地面积 约 现存 遗址 古迹 元明清 时所留 寺 保存 大量 元代 夹 纻 干漆 造像 三世佛 二天 十八罗汉 弥足珍贵 
1,网上 订票 方便 不用 下车 工作人员 站 路边 直接 扫码 景色 美 值得 一去 十一 赶上 下雪 雹子 冷 趣味 十里 画屏 非常 美 日出 天天 看到 总体 超赞 景色 不错 
1,游玩 时间 约个 小时 停车场 特别 小路 开阔 正在 拆迁 改造 烧香拜佛 没 必要 
1,登上 山顶 时 一览 众山 感觉 实在 太棒了 
1,景色 很美 景区 套路 太深 几里 路 不让 开车 进坐 景点 车 来回 钱 主要 里面 停车场 没满 
1,真的 美 
1,景美 管理 有序 有条不紊 不亏 五 景区 
1,值得 比较 震撼 带 家人 一起 比较满意 
1,一座 古老 寺院 值得 前往 参观 
0,观光车 设置 不合理 观光车 两段 路 块钱 块钱 路程 短短 三四 公里 路 
1,奇冠 三山 秀压 五岳 峰林 仙境 十里 画屏 
1,非常 壮观 值得 参观 
1,非常 值得 一游 一看 景点 古柏 参天 大庙 宏伟 陵墓 悲壮 关羽 享有 帝王 尊贵 等级 具有 忠义 勇猛 盖世英雄 后人 称赞 仰慕 历史 恢宏 人物 英名 景区 好点 赞点 赞 
1,值得 一游 价格 合适 
1,一览 众山小来 登 老君山 山水 风光 无限 
0,酒店 价格 高 
0,洛阳桥 白马寺 中国 第一 古刹 位于 河南 洛阳 
0,景区 美 漂亮 
0,入住 景区 酒店 离店 不好 打车 上山 下山 徒步 明确 导向 标 容易 混乱 
1,风景 不错 有雾 没 看不到 可惜 
1,龙门石窟 造像 多为 皇家 贵族 所建 世界 绝无仅有 皇家 石窟 主要 武则天 容貌 雕刻 卢舍那 大佛 孝文帝 冯太后 凿 古阳洞 兰陵王 孙于 万佛洞 造像 李泰为 长孙 皇后 造 宾阳 南洞 贵妃 凿敬善 寺 高力士 唐玄宗 造 无量 寿佛 经历 天竺 新罗 吐火罗 康国 外国人 开窟 造像 发现 欧洲 纹样 古希腊 石柱 堪称 全世界 国际化 水平 最高 石窟 
1,云雾 飘渺 爬 雪松 群峰 压君 扶冰 遥霜龙 炽霞 层林染 银潭 飞瀑 绿潺 
1,一个 字 中 问题 问 
0,想 规模 毕竟 始祖 佛教 兴盛 建设 比较 规格 仿制 印度 缅甸 泰国 佛阁 有点 画蛇添足 
1,关公 忠义 诚信 化身 看到 威武雄壮 身躯 手上 大刀 肃然起敬 
1,龙门石窟 旅游 景区 一个 不错 地方 值得 期待 
0,香火 很旺 尤其 过年 期间 最近 重新 整修 更 看头 
1,门票 里面 挺大 第一 古刹 印度 泰国 缅甸 佛教 庙宇 里面 博物馆 白马寺 历史 讲解 清楚 可惜 有点 晚 景点 没看 风水宝地 意义 
0,服务 差 厕所 山上 提供 开水 只来 一次 感觉 老 界岭 比着 强多 老 界岭 服务 提供 开水 环境 
1,值得 大佛 很漂亮 壮观 
1,适逢 大雨 人头攒动 依然 感觉 景色 如画 十里 画屏 名不虚传 道教 圣地 老子 悟道 处道 文化 源远流长 索道 车 比较 贵加 门票 人均 
1,一定 下雪 真的 美 
1,风景优美 特别 值得 爱 
1,走 受苦 殿 后面 公厕 下面 小路 上山 刺激 主要 人少 
1,携程 上定 景点 卖 便宜 多块 提醒 上山 一定 带 好吃 水 买 瓶 红牛 块钱 一瓶 贵 离谱 头 一次 花 贵 昨天 龙门石窟 花 块钱 一瓶 发现 河南 消费 高 至少 景点 点 做 索道 做 中灵 往返 闲累 中灵 索道 索道 单程 老公 花 小时 游 完风 很大 吹 拿个 登山 穿 舒服 鞋边 走 边玩 吃 补充 体力 可能 季节 特别 凄凉 十里 画屏 壮观 金殿 害怕 高 山 感觉 原来 厉害 属于 道教 壮观 河南 觉得 最好 景点 可能 很多 知道 说 一下 电瓶车 块钱 检票口 走过 检票口 花 块钱 坐 一个 电瓶车 问 当地人 管理 很多 当地人 坐 给钱 出 电瓶车 生活 发几张 拍 图 
1,开车 自驾游 洛阳 牡丹 龙门石窟 少林寺 一条线 
1,龙门 雕像 精美 震撼 交通 方便 火车站 路元 遇到 洛阳人 友善 一次 体验 只能 说 不虚此行 
1,电子 导游 机 个人 觉得 需要 导游 服务 差不多 值得 推荐 
1,不错 玩 开心 景色 真的 十分 庄严 壮观 值得 一次 过年 人太多 建议 错峰 出行 真的 
1,值得 一去 地方 风景 好离 洛阳 市区 一百多公里 栾川 方便 景区 管理 不错 山 本来 陡峭 景区 规划 一下 修 栈道 感觉 平顺 景点 看到 景区 索道 总得来说 不错 
1,洛阳 必 打卡 景点 地方 不大看 历史 
1,入园 方便 免去 排队 买票 麻烦 不错 体验 了解 佛教文化 变迁 普通人 求神拜佛 简单 愿望 见证 石匠 工人 精湛 雕刻 技术 
1,不错 样子 
1,有名 寺庙 少林寺 
1,第二次 依然 会 感叹 古人 智慧 了不起 技艺 牡丹 节 人山人海 台阶 有点 害怕 
1,牡丹 文化节 期间 游客 还好 上午 点入 园排 一会 队 请 讲解 推荐 听 讲解 了解 很多 细节 以内 元 划算 
1,值得一看 规模 古人 智慧 有点 损坏 可惜 洛阳 不愧 十三 古都 
1,走 非常 累 需要 预留 差不多 小时 挺 里面 佛像 壮观 很多 没有 头 看着 觉得 可惜 下午 点 入场 点后 开灯 风景 真的 美 太累 晚上 没有 开灯 回去 东区 不看 爬 累 没什么 
1,比较 值得 最好 请 导游 
0,太热 心情 没有 主要 人太多 
1,非常 值得 一去 尤其 大雄殿 十八罗汉 工艺 国内 寺庙 没法 缅甸 区 玉佛 值得一看 
0,白马寺 看看 中国 第一 官办 寺院 
1,总体 非常 满意 体验 感 不错 非常 值得 推荐 服务 便捷性 高 今后 还会 使用 携程 服务 非常 值得 推荐 
1,特色 风景区 值得 看一看 
1,看看 领略 一下 中国 古代 文艺创作 震撼 注意 防晒 龙门石窟 位于 河南省 洛阳市 世界 造像 规模 最大 石刻 艺术 宝库 联合国教科文组织 评为 中国 石刻 艺术 最高峰 
1,值得 推荐 景色 不错 体验 
0,天气 热 建议 夏天 体验 太差 没 办法 细看 人多 暴热 
1,景区 索道 排队 管理 非常 混乱 见 管理 最差 乘坐 闸口 只顾 刷票 放人 导致 乘坐 平台 人满为患 每个 索道 轿厢 规定 坐 个人 平台 轿厢 蜂拥而上 人挤 极其 危险 希望 景区 好好 管理 一下 造成 恶性事故 
1,不赖 不赖 真 不赖 中国 第一 寺庙 
1,非常 美好 
1,白马寺 位于 河南省 洛阳 老城 以东 公里 处 创建 东汉 永平 十一年 公元 年 中国 第一 古刹 世界 著名 伽蓝 佛教 传入 中国 兴建 第一座 寺院 中国 佛教 祖庭 释源 之称 距今已有 多年 历史 现存 遗址 古迹 元明清 时所留 寺 保存 大量 元代 夹 纻 干漆 造像 三世佛 二天 十八罗汉 弥足珍贵 
1,景色 不错 有趣 好玩 性价比 高 总体 超赞 
1,中国 第一个 佛教 寺院 象征意义 非凡 大法 西 白马 教称 首寺 佛光 东渐 宝莲 遍 中华 
1,喧闹 景点 相比 觉得 关林 更 适合 慢慢 细细 游 绿树 掩映 内庭 曲径 小路 环绕 外院 值得 转一转 
1,寺庙 没有 太 不同 第二次 修 外籍 寺庙 
1,风景 超赞 不虚此行 一步 一步 爬 山顶 满满的 成就感 索道 性价比 高 坐 超值 喜欢 现在 山顶 看着 山下 层峦叠嶂 山峰 自豪 
1,龙门石窟 行 非常 精彩 北魏 时期 雕刻 柔美 飘逸 唐代 石刻 精美 华丽 好似 古人 隔 千年 进行 一场 对话 讲解 老师 张俊晖 讲述 很多 石刻 背后 历史 故事 受益匪浅 非常 开心 
1,很漂亮 一座 寺庙 这是 供奉 不错 
1,老君山 景色 优美 山势 怪石 松树 黄山 七分 神似 黄山 算是 黄山 特色 一组 位于 山顶 极 优美 道观 群 包括 三座 金顶 两座 传统 道观 金顶 分立 三座 山峰 之巅 两高 对称 一矮成 犄角之势 高低 错落 组成 一个 标准 对称 三角形 简直 造化 天成 圣斧 神工 极 适合 拍照 山顶 温度 山脚 低 十几 度 想必 夏天 老君山 一定 避暑 纳凉 好去处 住 半山腰 摄影 主题 酒店 环境 不错 酒店 走廊 楼梯 客房 餐厅 展览 空间 布满 获奖 老君山 摄影 作品 房间 里 老板 省 摄影 协会 个人 摄影 作品 游客 一次 欣赏 四季 美景 大大 弥补 不能 成仙 常驻 此山 遗憾 攻略 半山 酒店 一定 提早 预定 可能 空留 遗憾 金顶 无人机 航拍 一次 元 强烈推荐 航拍 将山 陡峭 险峻 巍峨 耸立 道观 群 大气磅礴 恢弘 气度 立于 山巅 征服 大地 一览 众山 豪迈 气魄 直截了当 无可辩驳 方式 展示 成为 旅行 点睛之笔 有趣 好玩 景色 不错 总体 超赞 
1,不错 赶上 晴天 风景 很美 值得 山上 很多 住宿 选择 山下 酒店 第二天 早上 开车 进 景区 方便 
1,历史 古迹 值得一看 
1,老君山 金顶 耀日 令人 叹为观止 
1,非常 值得 地方 
1,老君山 古号 景室 山因 东周 道家 始祖 老子 归隐 修炼 得名 马鬃岭 八百里 伏牛山 主峰 海拔 米 老君山 山体 千姿百态 群峰 竞秀 拔地 通天 气势磅礴 老君山 道教 文化 源远流长 北魏 时建 老君庙 陆续 建成 灵官殿 淋醋 殿 救苦 殿 老君庙 道德 府 庙宇 群落 老君 山顶 太清观 始建 于北魏 历代 重修 明朝 最为 鼎盛 千百年来 老君山 一直 陕皖 地众 香客 朝拜 中原 道教 圣地 年 老君山 鸡冠 洞 联合 获批 国家级 旅游 景区 国家级 自然保护区 伏牛山 世界 地质公园 
1,洛阳 不会 失望 完 
1,一个 适合 带 孩子 家人 游玩 地方 
1,值得 来看 一看 地方 中国 首座 寺庙 
0,黄黄的 黄河水 汇入 一起 泄下 比较 壮观 雄伟 
1,谢谢 
1,洛阳 必去 打卡 地点 
1,中国 四大 窟 风化 比较严重 
1,中国 第一 古刹 白马寺 名气 之大 如雷贯耳 里面 游客 不算 太多 非常 亲近 没有 讲解 感觉 非常 从从容容 半天 时间 了解 白马寺 敌人 节目 一个 真的 满意 
1,非常 
1,景色 不错 值得 推荐 
1,景色 不错 避暑胜地 玩 
0,安徽 出发 自驾 俩 高速 路口 住宿 景区 分钟 车程 早上 九点 出发 开车 抵达 买票 口 门票 第一段 索道 一回 一人 第二段 索道 抵达 中 天门 选择 继续 坐 索道 山顶 爬山 爬上去 全程 半小时 多到 山顶 很累 山顶 金殿 下雪 应该 好看 那天 太阳 山顶 拍照 完 下山 不用 介绍 索道 步行 没有 消费 项目 其实 衣服 不用 刻意 穿太厚 正常 穿着 就行 会 出汗 衣服 太厚 爬山 更累 帽子 口罩 手套 必不可少 三样 装备 一定 不然的话 会 刺激 安徽 利辛 出发 自驾 一回 俩 消费 包含 费用 
0,周边环境 不太好 纯粹 中国 历史 文化 遗存 东西 放在 一起 不伦不类 个人观点 
1,讲解 非常 专业知识 丰富 
1,前段时间 儿子 班 老师 同学 一起 白云山 研学游 拍 照片 挺不错 儿子 树枝 制作 画 说 认识 不少 动植物 感觉 挺 值得 可能 有点 遗憾 儿子 说 地质博物馆 没 开门 没法 参观 挺 开心 很值 
0,价格 有点 高 
0,现在 佛门 圣地 问题 没有 佛教 神圣 神秘 剩下 弥漫 铜臭味 难怪 说 菩萨 真的 和尚 假 方丈 大师 活佛 成 高官 大款 座上宾 讲法 论道 普度众生 
1,景色 名不虚传 空气质量 优良 值得 一去 地方 
1,白马寺 中国 佛教 地位 高 多年 历史 洛阳 不能不 地方 
1,儿时 第一次 出行 龙门石窟 寒假 带 孩子 看看 小时候 回忆 龙门石窟 不虚此行 
1,讲解员 非常 热情 
1,人太多 值得一看 
1,历史 文化 悠久 值得一看 
1,美的 景色 可惜 有点 雾 距离 市区 近 坐 公交 方便 很快 山上 景点 不少 黄山 感觉 值得 一去 异地 旅游 交通 建议 走 洛阳 建议 走 郑州 
1,景色 秀丽 独特 魅力 枉 此行 尤其 河南 优惠政策 人性化 
1,白云山 地方 旅途 值得 留恋 时光 怀念 回忆 
1,朋友 喜欢 比起 景色 比较 历史 意义 
1,白马寺 整个 寺庙 坐北朝南 一长形 院落 总面积 约 万平方米 主要 建筑 天王殿 大佛殿 大雄宝殿 接引 殿 毗 卢阁 均列 南北向 中轴线 
1,佛教 圣地 主要 门票 便宜 元 喜欢 齐云塔 围着 塔转 三圈 可保 家人 健康 平安 唐代 名 相 狄仁杰 陵墓 寺院 里 
1,景色 壮观 
1,景区 太 全程 索道 走 远 真 好看 
1,拜神 礼佛 心诚则灵 希望 一位 游客 心想事成 
1,龙门石窟 私人 小车 送到 关林庙 不太远 一人元 方便 值 整个 景区 四十分钟 左右 转完 值得 一游 
0,很差 难得 去一趟 顺便 看看 没什么 亮点 
1,简单 洛阳 老君山 一日游 早上 起来 吃 早饭 以后 直接 前往 景区 进去 买票 当时 下着雨 买 完票 以后 景区 门口 观光车 停 一会 一辆 出租车 检票口 门口 买 中灵 索道 票 检票口 中灵 索道 一段距离 天气 不好 索道 看不到 建议 中灵 索道 一定 做 走 消防通道 很远 没有 风景 中 天门 很长 楼梯 感觉 非常 累 下面 下雨 上面 下雪 非常 上面 不算 一起 同行 途中 看不到 风景 上面 真的 冷来 一定 穿厚 点 总 感觉 不错 天气 风景 希望 下次 晴天 
1,一定 找 人工 讲解 
1,人间仙境 值得 打卡 地方 美丽 壮观 
1,景色 不错 性价比 高 有趣 好玩 总体 超赞 
1,下雨天 不算 整个 白马寺 气氛 挺 烧香 挺 景色 幽致 心旷神怡 寺院 一边 建设 很多 国际 风味 寺院 里面 没什么 挺 空旷 白马寺 舍利塔 一个 院落 里 需要 走 一段路 
1,來洛陽 牡丹 白馬寺 列為 必游 朋友 領下 冒雨 白馬寺 白馬寺 坐落 洛陽市 東邊 佛教 傳入 中國後有 朝廷 出資興建 第一座 寺院 中國 第一 古剎 美譽 一座 還想 寺 不過 貌似 交通 方便 
1,正好 赶上 阴天 本来 凉爽 老君山 更 冷 景色 优美 缆车 非常 方便 建议 两端 缆车 坐 节省 体力 
1,一家人 五一 一起 玩 第一天 龙门石窟 万多座 石窟 震撼 确实 值得 一趟 景区 干净 卫生 物价 比较 便宜 六十岁 老人 米 小孩 需要 买票 值得 点赞 
1,高姓 导游 讲解 通俗易懂 内容 广泛 身体 不适 情况 坚持 游客 完成 讲解 任务 特此 感谢 
1,历史悠久 地方 无论是 佛像 屋檐 雕工 精美 藏经阁 里 宝贝 环境 不错 
0,十里 画屏 太棒了 
1,中途 攀岩 米 距离 山顶 充满 挑战 女朋友 一起 攀岩 顶 满满的 成就感 克服 恐高 
1,景区 交通管理 不好 堵车 情况严重 建议 景区 游览车 私家车 分开 行驶 避免 道 景色 不错 性价比 高 总体 超赞 景色 美 物超所值 流连忘返 
1,每个 想 登顶 实现 梦想 大赞 老君山 景区 设施 两段 索道 四程 扶梯 脚程 需要 十里 画屏 一个半 小时 左右 平地 金顶 下来 十五分钟 阶梯 大部分 滑道 代替 带 老人 四个 小时 全程 不算 特别 辛苦 途中 看到 年迈 腿脚 不便 慢点 走 登 三个 金顶 其实 一天 不到 登上 山顶 感激 感慨 人造 设施 景区 交通 设计者 事后 回想 这趟 觉得 有多累 没有 太 轻松 最长 一段 平地 主要 问题 一段路 没有 指示 距离 路牌 走 走 已经 不能 回头 看不到 底 尤其 带 老人 知道 会 不会 连累 知道 前面 艰难 是不是 不能 克服 容易 担心 害怕 其实 需要 定时 一块 指示 一个 地标 距离 牌子 预期 一个 比较 煎熬 过程 变成 风景 轻松 散步 实际上 不远 段 路上 无数个 分叉 口 同样 没有 一个 标志 告知 其实 分叉 口 殊途同归 一边 直接 登山 道 一边 稍微 绕路 缓坡 本来 照顾 孱弱 人工 建设 缓坡 知情人 造成 迷惑 紧张 山上 包括 岔路 口 一个 工作人员 没有 问 无可 问 知道 走 哪条 道 真是 急煞 还好 路遇 带团 导游 好心 告知 这种 岔路 奥义 白白 无聊 担心 折腾 景色 没有 评价 夸张 步步 景 手机 难离 当天 多云 可能 有所 影响 没有 张家界 惊艳 可能 山色 看多 刁钻 觉得 抓人 眼球 地方 山顶 道家 建筑群 挺 特色 高 位置 似乎 仙气 尚算 值得 一去 
1,中午 怕 时间 来不及 买 两程 缆车 往返 小时 游完 老君山 主 景区 风景优美 可惜 阴天 有雾 看不清楚 风景 空气 
1,导游 服务 人员 态度 介绍 挺 详细 高兴 
1,关圣 墓地 古迹 值得 参拜 感觉 门票 有点 贵 
1,气势恢宏 壮观 大气 老君山 景区 不虚此行 
1,白云山 位于 洛阳市 嵩县 境内 既有 数不尽 瀑布 深潭 随处可见 险峰 奇石 原始森林 景观 空气清新 一个 天然 氧吧 景区 玉皇顶 海拔 约 米 中原地区 数一数二 高峰 日出 云海 绝佳 之地 自然景观 外 白云山 乌曼寺 云岩寺 玉皇阁 代表 人文景观 景区 面积 比较 时间 比较 充裕 建议 花 两天 时间 游玩 白云山 第一天 进入 景区 游览 白云峰 芦花 谷 九龙 瀑布 区域 选择 步行 索道 结合 当晚 住宿 中心广场 附近 中心广场 白云山 景区 中 住宿 最为 集中 区域 第二天 游览 黄山 玉皇阁 区域 登上 中原 极顶 玉皇顶 准备 玉皇顶 日出 第一天 晚上 住宿 玉皇阁 附近 景区 中有 食宿 点 很多 游客 爬山 时 带 零食 饮用水 
1,适合 带 小朋友 看看 
0,管理 很多 到位 地方 
1,总体 超赞 
1,历史 文化 古迹 洛阳 看看 
1,历史 古城 文雅 底蕴 丰厚 感受 历史 文化 
1,老君山 值得 一去 风景 宜人 天气 刚刚 
