label,comment_processed
0,体力 建议 做 索道 直接 十里 画屏 主要 风景 十里 画屏 金鼎 那段 路 两段 索道 一起 坐要 更 节省时间 体力 下来 玩 追梦谷 寨 沟 中 天门 十里 画屏 基本 林间 山路 没什么 风景 
1,非常 愉快 一次 订票 体验 
1,真的 任性 化 一个 历史悠久 古城 岁 老人 免费 赶快 带 父母 看看 
1,景色 非常 美 爬山 比较 累 索道 山顶 一段距离 
1,非常 震撼 绝对 洛阳 值得 景点 
1,白马寺 位于 河南省 洛阳市 河 回族 区 白马寺 镇 国道 始建 东汉 永平 十一年 公元 年 佛教 传入 中国 兴建 第一座 官办 寺院 中国 越南 朝鲜 日本 欧美国家 释源 祖庭 
1,景色 景色 非常 漂亮 不错 不错 趣味 趣味性 不错 不错 性价比 性价比 高 高 
1,文化底蕴 浓厚 比较 推荐 
1,讲解 老师 专业 帮 买票 省 排队 时间 
1,有名气 一座 寺庙 景区 很大 一边 和尚 一边 尼姑 他国 代表性 寺庙 
1,冬天 老君山 真是太 美 机会 一定 
1,风景 漂亮 
1,值得 景区 关系 景色 美 山峰 堪比 张家界 
1,个人 建议 左侧 逛 需要 走 大门 
1,天气 天气 
1,住 特别 舒服 房间 温馨 干净 有家 感觉 
1,景区 门口 买分 不同 进入 时间段 直接 刷 二维码 方便 来看 龙门石窟 卢舍那 大佛 听听 讲解 了解 历史 景区 摆渡 车 方便 
1,历史 文化 深刻 东西 不多学 迷则 失 
1,景色 秀丽 非常适合 夏季 游玩 避暑 地方 
1,最早 看到 元代 建筑 东汉 建寺 已经 将近 两千年 佛 菩萨 造像 栩栩如生 
1,冷 
1,白马寺 中国 第一 古刹 佛教 传入 中国 兴建 第一座 官办 寺院 距今已有 多年 历史 寺庙 建筑 历史 文化 味道 
1,震撼 看到 大佛 
1,天气 热 看到 卢舍那 大佛 感觉 再累 值 秦 老师 讲解 认真细致 表示 诚挚 感谢 景区 管理 尚有 较大 提升 空间 
1,到达 景区 大门 需要 微信 扫 码元 购 电瓶车 票到 云景 索道 口 上行 排队 游客 太 多出 索道 穿过 人造 景观 长廊 峰林 索道 直接 景观 栈道 建议 绕行 一线天 走 仙境 隧道 景色宜人 栈道 游览 太 辛苦 一路上 多个 拍照 打卡 点 一路 拍照 游玩 南天门 爬 金顶 游览 整个 需要 小时 下雨天 索道 口 比较 拥挤 标志 明显 
0,性价比 低残 出入 
1,老君山 位于 洛阳市 栾川 境内 洛阳 龙门 站 座 大巴 大概 小时 左右 到达 景区 想 日出 最佳 选择 入住 景区 山上 住宿 条件 城市 中心 客栈 酒店设施 完善 价格 实惠 就餐 环境 凤凰 天街 半山 小巷 非常 选择 市区 距离 景区 开车 十几分钟 路程 建议 上山 两个 缆车 选择 座 体力 超好 忽略 做 缆车 至少 做 第一段 缆车 上山 下山 选择 做 第一段 缆车 座 第二段 缆车 下山 
1,很多 值得一看 
1,第一座 官方 佛寺 值得一看 
1,自然风景 值得一看 过去 玩 最好 直接 坐 两个 索道 上去 顶上 需要 游玩 走 慢 小时 带 小孩儿 慢些 点 上去 下来 时 已经 点 第二天 起来 浑身 难受 尤其 小腿 
1,方便快捷 
0,非常 不错 
1,五个 小时 爬上去 哈哈哈 不错 
0,洛阳 白马寺 里面 环境 不错 
1,风景如画 避暑胜地 建议 一早 玩儿 一整天 十里 画屏 一步 一景 
1,解说 详细 耐心 炎炎夏日 辛苦 
1,网上 订票 优惠 需要 取票 刷 身份证 方便快捷 老君山 非常 值得 景色 美 遗憾 十一 假期 天气 不好 上山 之后 全是 雾 没 看到 十里 画屏 美景 性价比 高 
0,国内外 知名 白马寺 国内 好多 白马寺 洛阳 白马寺 棒 历史悠久 第二次 一路上 好多 停车场 寺庙 前 元 一次 寺庙 以前 好多 东南亚 印度 寺庙 值得 膜拜 
1,挺好用 一个 景点 之后 直接 点开 景点 讲解 就行 景点 挺全 每个 景点 讲解 时间 有点 短 音调 太 生动 比较 机械 
1,挺好玩 
1,洛阳 牡丹花 旅行 第一站 选择 白马寺 携程网 提前 约 出租车 洛龙区 开车 分钟 周六 白马寺 大巴 游客 很多 门票 算 合理 元 里面 分为 两大块 一个 白马寺 旧址 面积 很大 后来 建造 泰国 缅甸 印度 馆 基本上 逛个 两个 小时 差不多 白马寺 山 门前 两匹 石马 吸引 眼球 好多 游客 争着 合影 季节 寺院 牡丹花 竞相 开放 寺院 增添 艳丽 多彩的 美感 不愧为 天下 真花独 牡丹 中午 附近 简单 吃 点 河南 烩面 下午 打算 做 公交车 中国 国 花园 牡丹花 回去 路 堵 半天 没 看到 公交车 车站 越来越 赶紧 一辆 路过 空 出租车 事实证明 选择 正确 打个 车到 中国 国 花园 一个多 小时 做 公交车 估计 下午 看花 悬 旺季 真 建议 
1,白马寺 好像 唐朝 武则天 时期 寺庙 反正 有名 寺院 很大 泰国 印度 馆 春天 风景 比较 美 一定 避开 牡丹花 期 超级 
1,确实 不错 非常 值得 一去 地方 机会 还会 带 家人 
1,有名 寺庙 拜佛 烧香 
1,声音 标准 解说 通俗易懂 多些 趣味性 更好 
1,不错 
0,第二次 真的 避暑胜地 空气 特 酒店 位置 特好 几个 景点 近 自驾 直接 玩累 酒店 休息 酒店 服务 特别 值得 推荐 
1,挺好玩 冬天 有点 冷 
1,门票 贵 交通 房间 公交车 容易 找到 讲解 
1,白马寺 中国 第一 古刹 香火 旺盛 动物 颇 灵性 旁边 泰国 缅甸 印度 风格 佛殿 值得 参观 
1,历史悠久 古迹 属 中华文明 优秀 遗产 
1,景区 确实 当地人 财神 
1,河南省 第一座 官办 寺庙 具有 高 历史 意义 带 孩子 参观 一圈 孩子 了解 寺庙 历史 了解 各国 寺庙 建筑风格 值得 游览 赶上 僧 作 晚课 口 念经 书 非常 虔诚 
1,带娃 景区 大象 旅游 索佳惠 导游 安排 合理 进入 景区 很快 讲解 生动 孩子 问 问题 得到 及时 回答 孩子 一路 紧跟 听得 开心 
1,香火 很旺 灵验 商业化 
1,周岁 以下 孩子 免 门票 挺 五点 以后 入 景区 人少 天气 凉快 
1,服务 到位 人性化 
1,行李 景区 票务 中心 寄存 服务 轻装上阵 一尊 尊 大佛 非常 壮观 仿佛 看到 大堂 盛世 历史 沉重 希望 祖国 繁荣富强 越来越 石佛 能够 回归 
0,景区 管理 差 点 不配 
1,云顶 天宫 十里 画屏 确实 不错 景区 管理 急需 改善 停车 乱 山上 卫生间 无水 洗手 山下 餐饮 住宿 质次价高 坐 索道 游完 景区 人均 近元 
0,门票 有点 贵 风景 不错 挺不错 
1,地下 停车 这点 好玩 回来 车里 不会 太热 停车场 景区 距离 有点 远 天气 热 烦躁 凉快 溜溜 景区 里面 阴凉 地方 很少 一定 做好 防晒 石窟 壮观 
1,确实 比较 不错 很大 一座 寺院 
0,一次 不想 第二次 景色 没 想象 中好 居然 赶上 翻修 被子 景区 内乱 晒 内部 收费 高 电瓶车 坐够 走 下山 大巴车 坐够 走 时间 全 浪费 下山 楼梯 腿疼 走到 想 
1,两次 
0,国庆节 实在 太 一定 避峰 出行 
0,洛阳 出发 走 高速公路 白云山 山体 俊美 玉皇顶 九龙 瀑布 景点 走 山间 栈道 感受 大山深处 秘密 很多 寺庙 
1,服务态度 环境 不错 价格公道 尤其 前台 小姐姐 太棒了 加油 
1,过年 期间 来得 车 实在 太 建议 打车 千年 大佛 总是 值得一看 
1,不错 地方 
1,老君山 真的 容易 爬 没有 攻略 说 难 坐 一段 索道 大晴天 看着 风景 不错 夜景 确实 好看 不会 说 惊讶 不已 
0,交通 方便 讲解 给力 
1,听 讲解 知道 原来 汉朝 佛教 传入 中土 第一座 皇家 寺院 以前 唐僧骑 白马 看来 大错特错 纪念 白马 经文 不远万里 来到 中土 
0,老君山 景区 景色宜人 风景优美 空气清新 自然 趣味性 强 令人 心旷神怡 天然 氧吧 性价比 超高 不错 选择 爬山 有点累 挺 值得 
0,真的 会 
1,不负 此行 
0,人太多 
1,景区 没有 多大 一会儿 逛 完 毕竟 放 关老爷 首级 地方 值得 拜 一拜 
1,中国 四大 石窟 风景 不错 挺 
1,第一座 官办 寺院 白马 经书 翻译 传播 开来 中国 第一 古刹 
0,心中 有佛 心静如水 学习 佛教文化 
1,往返 索道 票 两日 有效 完 日出 第二天 下山 龙门 站 客运 中心 小巴 一人 终点站 下车 之后 坐个 块 电瓶车 检票口 换乘 一辆 块 电车 近 一级 索道 云景 位置 下车 各种各样 小吃店 再路 两侧 没 吃饭 不用 担心 凉皮 面饼 物价 不高 走过 小吃街 外面 选择 会 吃 完 坐 索道 一级 下来 走 一会 二级 索道 峰林 十里 画廊 真的 建议 走 十里 画廊 地图 感觉 很长 至少 一半 路 平路 无坡 爬山 弱者 友好 非常 爽 一步 一景 看着 心旷神怡 越到 后面 台阶 越 走走停停 不用 担心 山上 小商店 厕所 实在 走不动 类似 抬轿 两个 大哥 送上去 价钱 没问 住 山顶 民宿 第二天 日出 后半程 正常 登顶 线路 正常 指示 标走 不得不 吹 一句 第一次 山顶 日出 特别 治愈 特别 开心 一个 蛋黄 扑通 天际线 慢慢 升起 吹 一下 山顶 枕云 民宿 真的 没有 花钱 自带 观景台 醒 直接 冲去 日出 完 洗漱 完再 冲到 金顶 空无一人 看着 远处 背后 初升 太阳 这才 金顶 最美 时刻 
1,关公 春秋 大义 暮地 周边 千年 古松 成百上千 碑林 非常 值得一看 
1,今天 感觉 充实 意义 
1,喜欢 爬山 玉 黄顶 九龙 瀑布 险要 不能 玩水 休闲 处 森林 网吧 
1,导游小姐 姐姓 索好 特别 姓 性格 温柔 耐心 妈妈 两个 一路 听 小姐姐 讲解 走走停停 了解 历史背景 感觉 不累 挺 有意思 推荐 
1,世界 文化遗产 值得一看 带 老人 西山 石窟 体力 小伙伴 景点 逛 
1,挺 凉快 车能 开到 景区 第二道 门 保安 强制性 岁 老人 买票 最后 携程 沟通 携程 票 退 里面 景色 设施 简陋 走 下去 直接 谷底 做 缆车 回到 停车场 
1,非常 导游 服务 安排 妥妥 小时 刚刚 
1,强烈推荐 十里 画屏 名副其实 十里 画屏 一步 一景 满眼 风光 机会 必须 一回 坐中灵 索道 半山腰 爬 一截山 一截 索道 继续 山上 几座 山 腰间 行走 云雾 缭绕 峰林 奇景 感觉 语言 不足以 描画 几张 图 
1,家乡 最高 山 山峰 大自然 美 开心 
0,不错 一次 出行 携程 订票 真的 方便 
1,风景秀丽 景色 优美 诗情画意 值得 一去 
1,自驾游 两天 时间 家人 一起 玩 开心 费用 有点 高 平均 每人 左右 值得 一去 
1,世界 文化遗产 龙门石窟 非常 壮观 园区 很大 石窟 雕刻 很多 龙门 项目 园区 外古 街上 项目 小朋友 喜欢 视觉效果 感受一下 
1,老君山 比较 值得 一去 比较 合理 上去 第一 索道 必须 买 第二 索道 上去 一个 小时 下来 走 快 三 四十分钟 十里 画屏 走 有点 久 两个 小时 下来 走 一条 路 十多分钟 第二 索道 位置 
1,高 导游 负责 讲解 详细 认真 
1,导游 专业 讲解 到位 
1,洛阳 名胜古迹 非常 价值 意义 
1,中国 第一 古刹 东南亚 风格 几个 佛学院 特色 值得一看 
1,不错 体验 需要 请 导游 知道 景点 典故 非常 实用 
1,风景 美 
1,老君山 值得 一去 身 高处 金顶 震撼 五一 期间 人太多 依旧 完美 赞 
1,历史 遗迹 丰功伟绩 
1,不错 好好 
1,暑假 人较 石窟 时 比较 晒 注意 防暑 建议 走 东街 西街 进入 走 好久 门口 结束 交通 东街 直接 停车场 西街 需要 步行 一段距离 老人 孩童 建议 提前 做好 准备 有点累 
1,洛阳 必去 景点 二刷 
1,讲解 非常 认真 热情 点赞 
1,总体 评价 算 不错 
1,阴天 下雨 别有 景象 
1,看看 震撼 假日 人多 一定 有个 讲解 错过 很多 相关 知识 
1,评分 不高 是因为 里面 正在 大修 东西 看上去 新 没有 年代 感 商业 气息 太 浓厚 几乎 没什么 人去 不值 门票 钱 
1,导游 热情 讲解 祥细 态度 不错 
1,老君山 景区 缆车 安全 饱览 美丽 风景 老君山 景区 非常 美 壮观 说 特别 震撼 一路 风景 相随 伏牛山 主峰 眺望 金顶 更是 美轮美奂 登上 金顶 更是 美轮美奂 值得一看 
0,龙门石窟 河南省 有名 旅游景点 绝对 值得 一去 
1,刘涛 老师 讲解 深入浅出 龙门石窟 历史背景 细节 非常 清晰 做 讲解 两个 小朋友 觉得 收获 满满 学习 很多 文化 历史 手工 赞 
1,龙门石窟 一个 历史悠久 景区 值得 到此一游 卢舍那 佛龛 震撼 真心 佩服 古人 智慧 夏天 真的 推荐 点 以后 入园 估计 湖边 关系 整个 景区 没有 太阳 闷热 遗憾 点 大佛 灯 没有 亮 送到 大门口 电瓶车 已经 下班 实在 早 
1,洛阳 白马寺 真 著名 地方 特别 喜欢 难 讥嘲 孤独 文化 不得不 膜拜 一下 希望 能够 捧场 推荐 推荐 推荐 推荐 推荐 推荐 推荐 推荐 
0,非常 讲解 用心 
1,中国 四大 古刹 值得 一游 厚重感 很强 
1,说 实在 景点 出乎 意料 栾川县 城极近 几里 安排 食宿 方便 景区 管理 最好 美景 特别 十里 画屏 美轮美奂 老君山 十分 推荐 游览 特别 提醒 打算 徒步 上山 朋友 走 盘山公路 大概 需要 小时 中灵 索道 站 基本 没 体力 逛 
1,适合 自驾游 一个 字美 
1,天气 原因 无缘 云海 日出 远 赴 人间 惊鸿 宴 老君 山顶 吃 泡面 
1,不错 值得一看 
1,很棒 值得 
1,药方 洞来 之前 真没想到 真的 功德无量 卢舍那 大佛 佛祖 旁边 阿南 药方 洞 曾经 周总理 下令 保护 
1,关林庙 公交 大叔 告诉 介绍 说 曹操 关羽 建 衣冠冢 没有 说 很大 气 那种 值得一看 会 知道 曹操 怜惜 关羽 
0,物价 飙升 太贵 
1,老君山 真是 值得 天然 氧吧 避暑 圣地 十里 画廊 名不虚传 次于 黄山 
1,值得 一游 停车位 紧张 
1,带 孩子 一同 前往 了解 历史 
1,整体 感觉 不错 太 热 暑假 比较 
1,河南省 龙门石窟 世界 造像 规模 最大 石刻 艺术 宝库 世界 文化遗产 景区 
1,商业 气氛 特别 
1,第二次 老君山 携程网 购票 赶上 清明 节假日 人多 避免 不了 排队 坐 索道 尤其 景区 没有 要求 不再 扫 健康 码 大多 不带 口罩 担心 一点 明白人 一条 索道 不开 山顶 依然 很多 意外 季节 看到 冰挂 雪松 景致 美 
1,挺不错 地方 景区 庙里 陈列 文物 值得 看看 
1,玩 开车 杨导 认真负责 
1,名不虚传 历史悠久 非常 体验 
1,十里 画屏 江山如画 英雄 竞折腰 老君 金顶 宏伟 璀璨 千人 万姓 具 悟道 
1,服务 管理 山上 几乎 没有 饭菜 
1,里面 牡丹 可观 人不多 值得 参观 一下 
1,确实 美 天宫 
1,白马寺 位于 河南省 洛阳市 老城 以东 公里 洛龙区 白马寺 镇内 创建 东汉 永平 十一年 公元 年 中国 第一 古刹 世界 著名 伽蓝 佛教 传入 中国 兴建 第一座 官办 寺院 中国 佛教 祖庭 释源 之称 距今已有 多年 历史 现存 遗址 古迹 元明清 时所留 寺 保存 大量 元代 夹 纻 干漆 造像 三世佛 二天 十八罗汉 弥足珍贵 
1,方便快捷 验票 入场 速度 快 
1,龙门石窟 洛阳 卢舍那 真的 震撼 游客 非常 逛 完 大佛 一边 过桥 坐 观光车 回去 不同 角度 欣赏 一遍 
1,中国 石雕 艺术 最高峰 
1,山上 消费 不贵 最高处 泡面 块钱 算是 比较 划算 找 位置 吃 泡面 一件 容易 事 刚好 过来 天气 没有 下雪 足以 领略到 晴天 老君山 壮美 
1,前不久 敦煌 莫高窟 相比 龙门石窟 仪式 感 历史 人物 背书 卢舍那 样子 武则天 没 可惜 完全 整集 起来 先 铺垫 实地 景区 几个 景点 联动 网上 说 日落 拍照 能够 方位 七点 多才 日落 景区 说 已经 下班 连灯 不开 亮灯 仪式 没得 没 完工 已经 风化 好玩 网红 高低 眼佛 皇家 石窟 出现 不免有些 唏嘘 
1,非常 值得一看 龙门石窟 
1,检票 方便 这种 文化 地方 一定 请 导游 
0,景区 坐 索道 乏味 走 太高 风景 不错 得分 季节 最好 天气 小雨 淅沥沥 很多 地方 没开 加上 山顶 大风 
0,感觉 一般般 少林寺 闻名不如见面 
1,山上 人少 凉快 
1,热脚 好看 
1,石窟 美 赶上 下雨 
0,索道 假期 千万 不要 排队 排到 怀疑 人生 
1,感慨 祖国 大好河山 遭受 破坏 希望 保护 文化遗产 后代 留存 美好 
1,买 通票 使用 方便 票务 中心 网络 购票 处 兑换 五一节 挺 买 双程 缆车 山上 风景 美 金顶 道观 群 雄伟 十里 画廊 美不胜收 悬空 栈道 绕山 而建 令人 心旷神怡 
1,景区 非常 好看 时间 一场 旅行 
1,家人 一起 历史 文化底蕴 深厚 适合 拜香 许愿 
1,洛阳 较为 有名 景点 佛教 传入 中国 兴建 第一座 寺院 白马寺 四月 旅途 第一站 洛阳 火车站 可乘路 公交车 直达 景区 门口 公交站点 离得 有点 远 火车站 出发 大概 走 米左右 坐 公交 大概 需要 一个 小时 左右 沿路 穿过 洛阳 老城区 老城区 融入 不少 现代 商业 感到 略显 衰败 白马寺 门票 元人 景区 分为 白马寺 泰式 佛殿 印度 佛殿 缅甸 佛殿 四国 特色 佛殿 早上 游客 不算 景区 内可供 参观 场地 非常 随处 听到 弥弥 诵经声 可谓 佛教 胜地 值得 一去 
1,讲解 细心 
1,特别 价格 实惠 直接 实体店 消费 便宜 特别 划算 必须 打个 满分 
1,风景 真得 美 卫生 环境 干净 部分 正在 整休 游客 人数 适中 管理 规范 到位 
1,老君山 非常 值得 一去 坐 两次 索道 登上 金顶 金顶 建筑 蓝天白云 之下 非常 壮丽 玻璃 观景台 海拔 米 伏牛山 主峰 风景 非常 漂亮 绝对 不亚于 知名 山 
1,景色 非常 棒 趣味性 一般般 
0,景色 超美 放松 心情 愉悦 景色 不错 空气 新鲜 看着 树枝 冰霜 一层层 雾 一层层 山 画 建议 老君山 做 两个 索道 很累 腿 
1,龙门石窟 非常 不错 卢舍那 大佛 太 震撼 强烈推荐 游玩 
1,修建 一定 找 讲解 看到 完整 石雕 云里雾里 香山寺 景点 没有 出家 僧 
1,白云山 很多 地方 一个 白云山 地方 
1,不错 景色 壮观 值得 一去 没有 傍晚 夜景 震撼 机会 洛阳 旅游 悠闲自在 不错 一个 城市 物价 低 很棒 
1,中华 佛教 第一 古刹 第一 中原 比丘尼 道场 
1,景区 保留 很多 原始 东西 喜欢 这种 门票 高 
1,本来 会 没意思 惊艳 门票 烧香 看看 精美 佛像 唐代 人物 丰满 大气 十八罗汉 坐像 神态 各不相同 后建 泰 缅印 佛教 建筑群 恢弘 最赞 茶室 自助 茶水 唯一 要求 止语 
1,道教 文化 圣地 真的 非常 美 云山 雾绕 绝对 不虚此行 山上 基础 建设 完备 吃住行 全都 满足 反正 第一次 看到 云海 震撼 总体 非常 棒 
1,景区 管理 赶不上 服务 景区 旅客 数量 希望 提高 冬天 老君山 实在 美有 机会 还会 希望 浪费 过多 时间 摆渡 车 发车 不满 发车 
1,细心 专业 
1,提前 购票 挺 方便 
0,李燕洁 导游 讲解 详细 耐心 回答 问题 服务态度 一流 
0,人太多 台阶 包浆 看到 好多 摔跤 
1,白马寺 洛阳 著名 寺庙 前来 参观 游人 很多 寺 环境 幽静 了解 很多 历史 
1,道教 圣地 老君山 山顶 老君庙 没来 一定 看到 过图 
1,好玩 推荐 
1,不错 不错 不错 
1,老君山 风景秀丽 犹如 仙境 非常 值得一看 
0,周边环境 较乱 
1,带 孩子 挺不错 值得 一去 下午 五点 前入园 刚好 不热 
1,导游 非常 讲解 到位 游览 尽兴 
1,夜景 美 值得 等待 
1,体验 满意 
1,风景 
1,白云山 山脚下 牡丹园 餐 这家 店主 真的 太好了 做 饭 实惠 态度 热情 诚恳 色香味 俱全 在家 感觉 饭店 坐落 玉皇顶 山脚下 就餐 非常 方便 下次 还会 光顾 谢谢 老板娘 热情 款待 
1,值得 一去 很大 特色 泰国 佛教 寺庙 相似 
1,值得一看 景区 电子 讲解 标准 客服 中心 服务 
1,中国 官办 第一所 寺庙 大气 宏伟 佛学 气息 浓 印度 泰国 不同 风格 佛殿 观赏性 艺术性 东侧 齐云 古塔 中原 第一 比丘尼 道场 历史 积淀 深厚 
1,美丽 风景 
1,值得 一游 山下 有雨 没 看到 十里 画廊 登顶 看到 云海 算是 一得 一失 黄河 以北 山 无法 比肩 
1,卢舍那 大佛 震撼人心 
1,中国 石刻 艺术 典范 小丙 导游 讲解 非常 专业 值得称赞 
1,先有 白马寺 洛阳城 中国 古老 寺庙 值得 看看 
1,洛阳 著名 古都 历史 文化 浓厚 关林 相传 埋葬 关羽 首级 地方 保存 
1,好好 好好 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 
1,洛阳 白马寺 个人 第二次 感觉 依旧 中国 第一 古寺 有着 神圣 佛教 圣地 里面 明清 建筑 依旧 经典 明清 佛教 塑像 佛龛 镇 馆之宝 
1,手机 购票 方便快捷 
1,景色 不错 总体 超赞 
1,一个 欣赏 美景 好去处 可玩性 不高 主要 欣赏 风景 
1,玩 开心 期待 下次 再来 玩 
1,非常 棒 景点 值得 一游 
1,白云区 景色 优美 如画 值得 看看 
1,方便快捷 刷 身份证 进 
1,西边 石窟 东边 全景 游客 服务中心 太 隐蔽 
1,天下第一 寺 美誉 有点 小贵 门票 降低 价格 更好 
1,基本 
1,风景 不错 春暖花开 最大 石窟 确实 震撼 小孩子 比较 无聊 大人 行 
1,一次 终生 难忘 旅游 非常 值得 推荐 游山玩水 地方 一个 朝拜 道教 文化 仙山琼阁 特别 走 万仞 峭壁 之上 栈道 远眺 十里 画屏 连绵不绝 远 山林 心情 会 豁然开朗 空气清新 环境 宜人 值得 下次 
1,已经 第二次 第一次 惊艳 没想到 第二次 新 惊 喜爱 地方 浪漫 文艺 真的 适合 感受 氛围 太 适合 假日 放松 
1,感觉 环境 不错 看看 
1,老君山 风景 很棒 值得 推荐 
1,景色宜人 
1,总体 还好 套票 
0,山上 路 陡 一段路 挺 吓人 手脚 并用 
1,景点 学生 老师 退伍军人 老人 儿童 友好 进去 记得 找个 导游 解说 好几个 家庭 一起 省 一点 孩子 太小 不要 景点 文化 旅游胜地 听不懂 损坏 佛像 值得 武则天 皇帝 捐万 银子 胭脂 钱 修建 卢舍那 大佛 高米 非常 宏伟 壮观 据说 武则天 面相 雕刻 而成 以前 课本上 见 真正 面对 这尊 大佛 知道 叫做 百闻不如一见 赞叹 古人 匠人 精神 天 皇帝 美貌 真的 不输 四大美女 不满 十岁 小孩 建议 听不懂 看不懂 路程 很长 挺 累 
1,一般般 只能 听 几个 点 讲解 简单 
1,非常 值得 旅游景点 
1,景色 美 
0,白马寺 中国 第一座 寺 佛教 祖庭 寺 中 古 桑树 元代 十八罗汉 造像 栩栩如生 蓝 造像 特别 可惜 很多 重修 寺 东 上百年 齐云塔 一定 下塔站 下面 有许 震撼 
0,环境 非常 不错 出片 推荐 想 拍照 姐妹 
1,了解 学习 很多 北魏 文化 中华文化 博大精深 
1,导游 两天 想 起来 挺 感激 定 一个 小时 讲 快 小时 下着雨 特别感谢 
1,潘导 第一个 愿意 花 时间 写 点评 太 负责 太 认真 太 友好 讲 非常 
1,有趣 好玩 
1,老君山 玉皇顶 令人 向往 高 金碧辉煌 走 栈道 欣赏 十里 画屏 令人 心惊肉跳 恐高 下次 再也 不敢 栾川 盘山公路 高速 通车 会 方便 
1,重新 开放 转转 玩玩 
0,门票 缆车 价格 便宜 
1,不错 人太多 
1,龙门石窟 真的 值得 值得 多次 卢舍那 大佛 穿过 千年 时光 注视 如今 慈悲 淡然 晚上 灯光 亮起 站 河 对岸 大佛 更 觉得 壮观 
0,差劲 
1,远 赴 人间 惊鸿 艳 绝对 配得 景色 
1,石窟 看着 震撼 鬼斧神工 
1,白云山 人间仙境 人间仙境 白云山 没有 白云山 无法 想象 美景 去过 知道 特别 夏季 气 温度 时节 天堂 
0,基本 没有 服务 卫生 较差 尤其 游客 中心 卫生间 停水 用盆 冲水 世界级 文化遗产 乡村 级 卫生间 
1,天下 寺庙 之祖 佛教 传统 历史 开 先河 之地 悠久 中华 佛教文化 
1,好玩 
1,一山 四季 十里 不同 天 君山 北麓 冰未 消伊 水之阳 花艳艳 老君山 生动 写照 位于 洛阳 栾川县 县城 东南 三千米 处 八百里 伏牛山 脉 主峰 海拔 米 
1,挺不错 刚好 赶上 下雪 七点 半 到达 索道 门口 建议 朋友 第一节 索道 买 双程 坐 不想 坐 步行 十八里 费时费力 当天 第一批 游客 雪景 没有 脚踏 照出来 照片 朋友 说 想 说 一个 水平 下雪 雾 太大 好多 景观 没 办法 拍照 山顶 风太大 气温 将近 零下 二十度 拍照 设备 冻得 开不机 错过 好多 美景 游玩 挺 运气 遇到 一种 境界 老君山 
1,五一 出行 人山人海 听说 龙门石窟 比较 震撼 见证 感觉 云岗石窟 更好 云岗石窟 进洞 观看 更 细致 彩色 龙门石窟 雕刻 石窟 数量 更 多一些 最后 张是 云岗 
1,世界遗产 文化 传承 
1,景区 很大 索道 方便 十里 画卷 真是 漂亮 人间仙境 服务 热情 
1,武则天 带发修行 之地 寺院 虽小 精致 外面 建 一个 世界 园 不错 洛阳 一定 白马寺 
0,中国 历史 古老 寺庙 值得 一去 
